,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone,isRoll_p,isGrasp_p,isDrop_p,isNone_p
3600,-0.007621866,-0.419198144,-0.158533911,-0.003479443,-0.004414219,0.001246368,0.504345195,0.795106482,-0.284479407,0.448238974,0.005757195,0.983609133,0,0,0,1,0.9999999,1.62E-07,3.77E-28,1.47E-18
3601,-0.010016799,-0.413538608,-0.152218778,0.013917774,0.008568779,0.010126738,0.502550372,0.791068131,-0.279543645,0.440777805,0.019227044,0.978003228,0,0,0,1,0.99999976,1.81E-07,3.67E-28,1.60E-18
3602,-0.010235331,-0.417021743,-0.156790114,0.007270479,-0.004414219,0,0.504793901,0.791068131,-0.283581996,0.445640029,0.008505598,0.980318529,0,0,0,1,0.99999976,2.34E-07,3.89E-28,1.87E-18
3603,-0.003483135,-0.437055341,-0.157227178,0.000623184,-0.012982998,0.008257187,0.505242606,0.791965542,-0.285376819,0.464488847,0.015398952,0.98179399,0,0,0,1,0.99999976,2.10E-07,3.70E-28,1.53E-18
3604,-0.005878068,-0.431828409,-0.165286108,0.00285626,0.002544668,0.000934776,0.502999078,0.791965542,-0.284479407,0.46241737,0.003937938,0.980380551,0,0,0,1,0.99999976,1.88E-07,3.17E-28,1.15E-18
3605,-0.003701667,-0.420067813,-0.162017046,-0.000934776,0.004725811,0.000623184,0.502999078,0.791965542,-0.284479407,0.450244592,0.004857515,0.980380551,0,0,0,1,0.99999976,1.95E-07,2.99E-28,1.23E-18
3606,-0.008710066,-0.424643608,-0.155050776,0.004414219,-0.008880371,-0.021240185,0.505691312,0.791068131,-0.288069053,0.452149093,0.023441241,0.98208771,0,0,0,1,0.99999976,2.18E-07,2.90E-28,1.47E-18
3607,-0.004138731,-0.420723409,-0.161147377,0.019007109,-0.003479443,-0.004725811,0.505242606,0.79420907,-0.286722936,0.450548325,0.019892461,0.983996027,0,0,0,1,0.99999976,1.93E-07,3.30E-28,1.57E-18
3608,-0.00805893,-0.434660407,-0.165067576,0.014540958,-0.000934776,0.006024111,0.505242606,0.79420907,-0.286722936,0.465018194,0.015767155,0.983996027,0,0,0,1,0.9999999,1.74E-07,3.68E-28,1.53E-18
3609,-0.001957869,-0.423555407,-0.16245411,0.006647295,0.004102627,0.013606182,0.506588723,0.788375896,-0.284479407,0.453645626,0.015689049,0.979335092,0,0,0,1,0.9999999,1.47E-07,3.49E-28,1.26E-18
3610,-0.0060966,-0.430958741,-0.172252377,0.01329459,-0.005089335,0.004725811,0.506588723,0.788375896,-0.284479407,0.46414813,0.014999358,0.979335092,0,0,0,1,0.9999999,1.23E-07,3.65E-28,1.19E-18
3611,-0.008928598,-0.422899811,-0.162235578,0.007582071,-0.003791035,-0.008568779,0.505691312,0.791068131,-0.282684584,0.453039019,0.01205337,0.980521833,0,0,0,1,0.9999999,1.21E-07,3.29E-28,1.09E-18
3612,-0.011105,-0.426601478,-0.156571582,0.012359814,0.002544668,0.000623184,0.509729663,0.788375896,-0.286722936,0.454562209,0.012634425,0.981616486,0,0,0,1,0.9999999,1.18E-07,2.87E-28,8.84E-19
3613,-0.00305053,-0.421593078,-0.163323779,0.012048222,-0.004414219,-0.002544668,0.505242606,0.79420907,-0.286722936,0.452133482,0.013081297,0.983996027,0,0,0,1,0.9999999,1.32E-07,2.91E-28,8.76E-19
3614,-0.0060966,-0.429433476,-0.158970975,0.004725811,-0.00155796,0.010126738,0.501204255,0.788824602,-0.284928113,0.4579542,0.011283234,0.977053728,0,0,0,1,0.9999999,1.33E-07,2.76E-28,8.17E-19
3615,-0.009147131,-0.433135142,-0.163979375,0.008257187,-0.003791035,-0.003791035,0.500755549,0.792862953,-0.27999235,0.46322668,0.009845051,0.97866414,0,0,0,1,0.9999999,1.23E-07,2.54E-28,7.55E-19
3616,-0.005663996,-0.425513277,-0.160928845,-0.000311592,0.005089335,0.005089335,0.503447784,0.792414248,-0.287171641,0.45496343,0.007204149,0.981757385,0,0,0,1,0.9999999,1.25E-07,2.30E-28,7.76E-19
3617,-0.004789868,-0.434223343,-0.158533911,0.003791035,0.000311592,-0.000311592,0.507486135,0.791965542,-0.287620347,0.462283307,0.00381656,0.983604118,0,0,0,1,0.9999999,1.26E-07,2.15E-28,7.50E-19
3618,-0.005878068,-0.415933542,-0.159185048,0.009815147,-0.00285626,-0.004414219,0.507486135,0.791965542,-0.287620347,0.445393244,0.01113466,0.983604118,0,0,0,1,0.9999999,1.40E-07,2.29E-28,8.75E-19
3619,-0.008491534,-0.417458807,-0.160710313,0.007893663,0.001921484,-0.007893663,0.508832252,0.79420907,-0.285376819,0.447405595,0.011327485,0.985453315,0,0,0,1,0.9999999,1.61E-07,2.60E-28,1.04E-18
3620,-0.000218532,-0.418109943,-0.15744571,0.015839258,0.005712519,-0.009815147,0.507037429,0.793311659,-0.288069053,0.446771893,0.019489794,0.984588301,0,0,0,1,0.9999999,1.42E-07,2.66E-28,9.44E-19
