aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-0.002801621,-0.001708974,0.000986557,0.046122697,-0.181193796,-0.036083101,0.113009903,0.73467992,-0.121791858,0.00342697,0.190423811,0.753232421,0,0,1,0
-0.003470993,-0.000986557,0.001127649,0.046740639,-0.179574633,-0.035175743,0.114396527,0.734448816,-0.119249713,0.0037806,0.188863313,0.752809487,0,0,1,0
-0.002836623,-0.001074965,0.001356787,0.047956967,-0.180501545,-0.036892682,0.114396527,0.734448816,-0.119249713,0.003323046,0.190372968,0.752809487,0,0,1,0
-0.003153808,-0.001462515,0.000916192,0.048125141,-0.180790961,-0.03684575,0.113472111,0.736528753,-0.117863089,0.003595125,0.190681939,0.754481432,0,0,1,0
-0.002607846,-0.001409471,0.001303742,0.049388402,-0.181291572,-0.035723286,0.11116107,0.738377586,-0.113241007,0.003238246,0.191264681,0.755236233,0,0,1,0
-0.04459499,0.027979762,-0.058267867,0.047026144,-0.16443115,-0.020939618,0.11116107,0.738377586,-0.113241007,0.078528377,0.172300129,0.755236233,1,0,0,0
-0.577356163,-0.173058902,-0.435078645,0.006390612,-0.256027315,-0.012018574,0.109543341,0.736528753,-0.111623278,0.743359412,0.256387129,0.752950266,1,0,0,0
-0.297628906,-0.006519073,-0.092379151,0.036415537,-0.15922949,-0.065294533,0.103534635,0.736297649,-0.111623278,0.311704128,0.175906093,0.751873264,1,0,0,0
-0.091128093,-0.001215696,-0.010730164,0.033075524,-0.233136096,0.012065507,0.100068073,0.735142128,-0.109543341,0.09176571,0.235779948,0.749964874,1,0,0,0
-0.005039237,-0.003594403,0.001550562,0.027377163,-0.234493221,0.0143339,0.100068073,0.735142128,-0.109543341,0.006381229,0.236519131,0.749964874,1,0,0,0
-0.00444023,0.001620927,0.003717813,0.027232455,-0.236233626,0.015260813,0.101223594,0.739302002,-0.106770092,0.006013886,0.238286914,0.753799389,1,0,0,0
-0.00419341,-0.000916192,0.002537119,0.027760443,-0.235971588,0.013019796,0.095677096,0.739070898,-0.105383468,0.004986192,0.237954477,0.752652359,1,0,0,0
-0.004634005,-0.000986557,0.002907349,0.028687356,-0.235494443,0.014834511,0.095677096,0.739070898,-0.105383468,0.005558857,0.23770026,0.752652359,1,0,0,0
-0.005233012,-0.001251059,0.003294899,0.028687356,-0.235162006,0.013258369,0.096139304,0.739302002,-0.107925613,0.006309059,0.23727787,0.753298184,1,0,0,0
-0.004898145,-0.001109967,0.003083443,0.029880218,-0.236761614,0.012186748,0.09197943,0.737453169,-0.105614572,0.005893363,0.238951787,0.750634285,1,0,0,0
-0.004669007,-0.00114533,0.003189171,0.029618179,-0.236092829,0.011709604,0.095445992,0.739302002,-0.109081133,0.005769231,0.238232159,0.753376454,1,0,0,0
-0.004686689,-0.001127649,0.003224534,0.030811041,-0.236710771,0.011662671,0.088975077,0.738377586,-0.108850029,0.005799543,0.238990898,0.751642436,1,0,0,0
-0.004545958,-0.000969237,0.003136127,0.031143478,-0.235854257,0.012088973,0.086664036,0.737222065,-0.108156717,0.005607211,0.238208693,0.75013659,1,0,0,0
-0.004722052,-0.000810464,0.003347583,0.031910039,-0.235948122,0.011709604,0.087126244,0.737222065,-0.113241007,0.005844649,0.238384689,0.750939999,1,0,0,0
-0.004422548,-0.00102192,0.003083443,0.031956971,-0.235494443,0.010516742,0.087126244,0.737222065,-0.113241007,0.005487409,0.237884078,0.750939999,1,0,0,0
-0.004387185,-0.00126874,0.003365265,0.031741865,-0.234853035,0.009871423,0.082504162,0.739070898,-0.113241007,0.005672885,0.237195738,0.752234176,1,0,0,0
-0.004123045,-0.000652052,0.00317149,0.032696154,-0.235185472,0.008991442,0.08181085,0.741150835,-0.111854382,0.005242394,0.237618129,0.753995344,1,0,0,0
-0.00392927,-0.001004239,0.00292467,0.034029813,-0.235255871,0.009183083,0.08181085,0.741150835,-0.111854382,0.005000265,0.237880167,0.753995344,1,0,0,0
-0.004598642,-0.000916192,0.003524038,0.034221453,-0.235470977,0.007583474,0.079730913,0.741381939,-0.117863089,0.005865578,0.238063985,0.754914502,1,0,0,0
