aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,a,g,m,isRoll,isPick,isDrop,isNone
-45.9,442.38,-921.39,0.18,-2.01,-0.06,142.65,218.25,-66.9,1023.116028,2.018935363,269.1796705,0,1,0,0
-38.09,435.06,-907.71,1.28,-0.98,-0.67,142.05,216.9,-66.75,1007.306059,1.745766307,267.7300413,0,1,0,0
-31.25,432.62,-919.92,-0.12,0.85,1.89,143.7,217.8,-66.9,1017.049376,2.075813094,269.3736067,0,1,0,0
-53.71,443.85,-915.53,0.18,1.28,0.91,143.7,217.8,-66.9,1018.863469,1.580790941,269.3736067,0,1,0,0
-44.43,431.15,-900.39,2.56,-0.12,1.71,142.65,220.5,-67.65,999.2829927,3.080925186,271.1932798,0,1,0,0
-24.41,431.15,-909.67,-0.24,-1.34,-0.79,144.15,218.25,-69.9,1006.968559,1.57394409,270.7365786,0,1,0,0
-36.13,431.15,-898.93,1.83,-0.43,1.04,143.7,219.75,-68.7,997.6326199,2.148348203,271.4027312,0,1,0,0
-33.69,435.55,-907.23,-1.71,-1.95,1.28,143.4,219.75,-69.9,1006.928543,2.892230973,271.5504235,0,1,0,0
-40.53,436.04,-905.76,2.13,-1.22,3.66,142.5,219.15,-67.8,1006.068954,4.406915021,270.0552027,0,1,0,0
-44.43,437.01,-912.6,0.67,-0.43,1.34,144,217.95,-67.5,1012.813174,1.558653265,269.8044709,0,1,0,0
-42.48,424.32,-914.06,0.12,1.28,0.24,144.3,218.7,-70.05,1008.64151,1.307822618,271.2179612,0,1,0,0
-33.69,430.66,-912.11,0.3,-0.18,-3.35,141.75,217.2,-65.55,1009.231244,3.368219114,267.5176723,0,1,0,0
-32.71,421.88,-917.97,1.83,1.65,4.33,142.5,218.4,-69.3,1010.802453,4.981997591,269.8282787,0,1,0,0
-52.73,430.18,-914.55,3.17,-0.67,-1.59,143.4,218.55,-67.2,1012.045942,3.609141172,269.8953547,0,1,0,0
-29.3,413.09,-914.06,-0.24,1.46,-0.37,143.4,218.55,-67.2,1003.497644,1.52515573,269.8953547,0,1,0,0
-34.67,432.13,-905.27,0.55,-1.59,-0.73,143.1,218.55,-68.4,1003.719143,1.833984733,270.0375391,0,1,0,0
-47.36,433.59,-898.44,2.56,-2.44,-1.1,142.5,216.9,-68.55,998.7180239,3.703673852,268.4231035,0,1,0,0
-31.74,437.01,-900.39,0.55,-2.13,0.43,143.55,220.65,-68.85,1001.342758,2.241495037,272.0906972,0,1,0,0
-47.85,435.06,-901.86,0.79,0,0.24,143.7,218.55,-68.4,1002.456127,0.825651258,270.3559737,0,1,0,0
-39.06,438.96,-908.2,0.49,-0.43,-2.26,143.25,218.4,-68.25,1009.474519,2.352147955,269.9577467,0,1,0,0
-43.95,422.85,-905.76,1.77,-1.16,-0.61,142.8,218.4,-66.75,1000.56729,2.202407773,269.3435771,0,1,0,0
-38.09,427.25,-908.2,1.77,1.34,-3.35,143.4,219,-67.65,1004.400642,4.018830676,270.3721186,0,1,0,0
-35.64,426.76,-910.16,0.43,0.3,0.55,142.65,217.8,-67.65,1005.875506,0.75986841,269.0025743,0,1,0,0
-38.09,429.2,-914.06,0.61,-2.07,-0.91,142.65,217.8,-67.65,1010.529154,2.342029035,269.0025743,0,1,0,0
-22.95,432.62,-906.74,1.28,-0.79,0.61,144.3,219.15,-70.05,1004.919994,1.623145095,271.5809548,0,1,0,0
-30.27,424.32,-912.11,1.89,2.99,-1.04,144,219.9,-70.35,1006.433499,3.686977082,272.1050027,0,1,0,0
-43.95,434.08,-911.13,0.67,0.79,2.13,142.35,219.3,-66.9,1010.205388,2.368522746,269.8733453,0,1,0,0
-33.2,428.71,-907.23,0.3,0.55,0.85,142.35,219.3,-66.9,1003.972498,1.055935604,269.8733453,0,1,0,0
